transaction_id,customer_name,mobile_number,transaction_amount,payment_method,transaction_type,transaction_time,location,merchant_name,device_type,ip_address
TXN1000,Allison Hull,6219473349,6102.48,Debit Card,Credit,04-05-2026 15:52,Hyderabad,Amazon,Android,37.54.214.22
TXN1001,Holly Monroe,2537289191,30746.09,UPI,Debit,16-05-2026 20:59,Mysore,PhonePe,Web,216.227.242.117
TXN1002,Allison Bryant,3679925993,45076.84,Debit Card,Credit,06-02-2026 22:33,Bangalore,PhonePe,Web,36.139.125.153
TXN1003,Brady Parker,1160241587,85537.82,Net Banking,Credit,25-04-2026 19:48,Mysore,Flipkart,iPhone,141.84.227.0
TXN1004,Tiffany Day,3957276013,39293.74,Debit Card,Credit,12-04-2026 18:38,Mumbai,Swiggy,Web,158.231.113.200
TXN1005,Erin Watkins,9187114053,28051.43,Debit Card,Debit,23-01-2026 19:10,Hyderabad,Paytm,Android,97.90.76.152
TXN1006,Christopher Hernandez,591944437,67314.78,UPI,Debit,04-04-2026 05:32,Mumbai,Amazon,iPhone,64.230.95.49
TXN1007,Joshua Rice,4319161344,27679.24,Credit Card,Debit,24-04-2026 17:58,Chennai,Amazon,iPhone,171.175.205.99
TXN1008,Crystal Cooper,3004814269,63657.16,Net Banking,Credit,19-04-2026 05:50,Bangalore,Amazon,iPhone,88.244.211.4
TXN1009,Veronica Vazquez,2257731285,18976.72,Credit Card,Debit,16-01-2026 11:17,Delhi,PhonePe,iPhone,98.5.185.130
TXN1010,Adam Jones,5010255582,89079.68,Net Banking,Debit,07-01-2026 17:21,Bangalore,Zomato,iPhone,37.130.133.206
TXN1011,Marie Little,5423679091,75584.04,UPI,Credit,14-04-2026 12:45,Hyderabad,Myntra,iPhone,180.53.255.148
TXN1012,Frederick Contreras,2841970932,67810.59,Credit Card,Debit,11-04-2026 22:43,Mumbai,Paytm,iPhone,117.233.27.73
TXN1013,Brendan Long,8123299537,39294.44,UPI,Debit,12-05-2026 13:46,Pune,Flipkart,Web,81.183.239.116
TXN1014,Sean Hunt,5349487885,51583.49,Net Banking,Credit,26-04-2026 10:23,Mumbai,PhonePe,Android,114.30.37.159
TXN1015,Danielle Mckinney,7585558672,20152.47,Debit Card,Credit,24-03-2026 07:31,Mysore,Myntra,Android,199.176.107.5
TXN1016,Paul Clark,1424027049,68288.83,Net Banking,Credit,04-01-2026 20:04,Chennai,Swiggy,Web,114.105.60.103
TXN1017,Wayne Bell,7117615764,7266.12,Net Banking,Credit,08-03-2026 20:59,Bangalore,PhonePe,iPhone,183.207.183.189
TXN1018,Jessica Parker,2989477187,64007,Net Banking,Credit,20-03-2026 08:13,Mumbai,Flipkart,iPhone,173.52.179.81
TXN1019,Timothy Pena,8292787532,41754.58,UPI,Debit,02-05-2026 12:39,Pune,Swiggy,Android,114.132.138.147
TXN1020,Matthew Little,7811765429,33943.04,Debit Card,Debit,17-05-2026 20:34,Mysore,Zomato,Web,104.125.217.215
TXN1021,Chelsea Stout,8905139926,34242.39,UPI,Debit,19-05-2026 23:00,Mysore,Swiggy,iPhone,182.230.251.204
TXN1022,Heidi Peters,1122587586,93371.63,UPI,Debit,23-03-2026 07:36,Delhi,PhonePe,Android,114.241.120.60
TXN1023,Erin Adams,1478996512,47845.17,Net Banking,Credit,08-01-2026 20:06,Delhi,PhonePe,Android,207.80.227.126
TXN1024,Shawn Owens,6802358914,53105.63,Credit Card,Debit,05-05-2026 07:03,Hyderabad,Zomato,Web,100.201.170.227
TXN1025,Jennifer Fleming,545495715,10830.94,Net Banking,Debit,16-03-2026 05:37,Bangalore,Flipkart,Android,161.16.24.119
TXN1026,Michael Riddle,621501199,97657.96,Credit Card,Credit,03-01-2026 05:06,Delhi,Amazon,Android,79.176.224.58
TXN1027,Clarence Lee,4848696562,74315.97,UPI,Debit,19-04-2026 05:01,Pune,Flipkart,iPhone,113.46.58.131
TXN1028,Alan Butler,7124433997,8322.22,UPI,Debit,30-03-2026 22:19,Chennai,Amazon,Android,177.242.131.228
TXN1029,Amber Hill,1105075147,57572.73,Debit Card,Debit,21-02-2026 22:27,Mumbai,Flipkart,Web,207.211.58.46
TXN1030,Tricia Marshall,4265523632,30725.16,UPI,Credit,09-05-2026 14:53,Mumbai,Zomato,Android,55.9.17.252
TXN1031,Sara Contreras,220630586,35801.78,UPI,Debit,28-04-2026 04:29,Bangalore,Amazon,Web,81.246.91.158
TXN1032,Brooke Ford,7241892173,12790.53,Credit Card,Credit,30-04-2026 05:52,Mumbai,Myntra,Web,173.3.183.90
TXN1033,Lisa Blake,6233366195,78372.19,Debit Card,Credit,08-01-2026 06:30,Pune,Amazon,iPhone,72.53.184.187
TXN1034,Connor Cuevas,5140409728,18834.31,Credit Card,Debit,08-01-2026 12:20,Hyderabad,Amazon,Web,99.232.29.232
TXN1035,Ruth Andrews,6527341150,56035.65,Net Banking,Debit,07-04-2026 13:31,Pune,Myntra,Android,194.120.203.111
TXN1036,Chad Russell,5488771568,66919.44,UPI,Debit,17-04-2026 11:16,Delhi,Zomato,Web,45.209.19.74
TXN1037,Jennifer Bowman,6981126670,89852.26,Net Banking,Credit,11-05-2026 17:17,Mysore,Zomato,Android,88.184.195.197
TXN1038,Tara Martinez DVM,1039765860,60436.14,Credit Card,Debit,04-01-2026 22:49,Chennai,Amazon,Web,221.61.141.121
TXN1039,Jeremy Melendez,2302857220,24808.92,Debit Card,Debit,20-01-2026 02:08,Hyderabad,Zomato,iPhone,71.36.56.30
